witness_id,carrier_id,channel_id,source_state,target_state,source_d,source_n,target_first,target_second,edge_weight,edge_probability,per_source_support_count
same_optimized_success_different_declared_recovery_v0,X2_dn,declared_d_in_target_first,00,00,0,0,0,0,1,1/2,2
same_optimized_success_different_declared_recovery_v0,X2_dn,declared_d_in_target_first,00,01,0,0,0,1,1,1/2,2
same_optimized_success_different_declared_recovery_v0,X2_dn,declared_d_in_target_first,01,00,0,1,0,0,1,1/2,2
same_optimized_success_different_declared_recovery_v0,X2_dn,declared_d_in_target_first,01,01,0,1,0,1,1,1/2,2
same_optimized_success_different_declared_recovery_v0,X2_dn,declared_d_in_target_first,10,10,1,0,1,0,1,1/2,2
same_optimized_success_different_declared_recovery_v0,X2_dn,declared_d_in_target_first,10,11,1,0,1,1,1,1/2,2
same_optimized_success_different_declared_recovery_v0,X2_dn,declared_d_in_target_first,11,10,1,1,1,0,1,1/2,2
same_optimized_success_different_declared_recovery_v0,X2_dn,declared_d_in_target_first,11,11,1,1,1,1,1,1/2,2
same_optimized_success_different_declared_recovery_v0,X2_dn,shifted_d_in_target_second,00,00,0,0,0,0,1,1/2,2
same_optimized_success_different_declared_recovery_v0,X2_dn,shifted_d_in_target_second,00,10,0,0,1,0,1,1/2,2
same_optimized_success_different_declared_recovery_v0,X2_dn,shifted_d_in_target_second,01,00,0,1,0,0,1,1/2,2
same_optimized_success_different_declared_recovery_v0,X2_dn,shifted_d_in_target_second,01,10,0,1,1,0,1,1/2,2
same_optimized_success_different_declared_recovery_v0,X2_dn,shifted_d_in_target_second,10,01,1,0,0,1,1,1/2,2
same_optimized_success_different_declared_recovery_v0,X2_dn,shifted_d_in_target_second,10,11,1,0,1,1,1,1/2,2
same_optimized_success_different_declared_recovery_v0,X2_dn,shifted_d_in_target_second,11,01,1,1,0,1,1,1/2,2
same_optimized_success_different_declared_recovery_v0,X2_dn,shifted_d_in_target_second,11,11,1,1,1,1,1,1/2,2
