carrier_id,state_id,target_distinction_id,label,registry_first
X3,000,E_A,0,1
X3,001,E_A,0,1
X3,010,E_A,0,1
X3,011,E_A,0,1
X3,100,E_A,1,1
X3,101,E_A,1,1
X3,110,E_A,1,1
X3,111,E_A,1,1
X3,000,E_B,0,1
X3,001,E_B,0,1
X3,010,E_B,1,1
X3,011,E_B,1,1
X3,100,E_B,0,1
X3,101,E_B,0,1
X3,110,E_B,1,1
X3,111,E_B,1,1
X3,000,E_C,0,1
X3,001,E_C,1,1
X3,010,E_C,0,1
X3,011,E_C,1,1
X3,100,E_C,0,1
X3,101,E_C,1,1
X3,110,E_C,0,1
X3,111,E_C,1,1
X3,000,E_joint,000,1
X3,001,E_joint,001,1
X3,010,E_joint,010,1
X3,011,E_joint,011,1
X3,100,E_joint,100,1
X3,101,E_joint,101,1
X3,110,E_joint,110,1
X3,111,E_joint,111,1
X3,000,E_parity,0,1
X3,001,E_parity,1,1
X3,010,E_parity,1,1
X3,011,E_parity,0,1
X3,100,E_parity,1,1
X3,101,E_parity,0,1
X3,110,E_parity,0,1
X3,111,E_parity,1,1
X3,000,E_trivial,*,1
X3,001,E_trivial,*,1
X3,010,E_trivial,*,1
X3,011,E_trivial,*,1
X3,100,E_trivial,*,1
X3,101,E_trivial,*,1
X3,110,E_trivial,*,1
X3,111,E_trivial,*,1
