world,T,branch_probability,self_lineage_survival,transported_lineage_survival,transport_over_self_delta
W0_null_flat,50,0.1,0.0,0.0,0.0
W0_null_flat,50,0.25,0.0,0.0,0.0
W0_null_flat,100,0.1,0.0,0.0,0.0
W0_null_flat,100,0.25,0.0,0.0,0.0
W1_distinction_only,50,0.1,1.0,1.0,0.75
W1_distinction_only,50,0.25,1.0,1.0,0.75
W1_distinction_only,100,0.1,1.0,1.0,0.75
W1_distinction_only,100,0.25,1.0,1.0,0.75
W2_local_memory_only,50,0.1,1.0,1.0,0.0
W2_local_memory_only,50,0.25,1.0,1.0,0.0
W2_local_memory_only,100,0.1,1.0,1.0,0.0
W2_local_memory_only,100,0.25,1.0,1.0,0.0
W3_generic_coupling,50,0.1,1.0,0.00031600000000000004,-0.249684
W3_generic_coupling,50,0.25,1.0,0.000308,-0.249692
W3_generic_coupling,100,0.1,1.0,0.0,-0.25
W3_generic_coupling,100,0.25,1.0,0.0,-0.25
W4_random_relation,50,0.1,1.0,1.0,0.75
W4_random_relation,50,0.25,1.0,1.0,0.75
W4_random_relation,100,0.1,1.0,1.0,0.75
W4_random_relation,100,0.25,1.0,1.0,0.75
W5_global_commutative_map,50,0.1,1.0,1.0,0.75
W5_global_commutative_map,50,0.25,1.0,1.0,0.75
W5_global_commutative_map,100,0.1,1.0,1.0,0.75
W5_global_commutative_map,100,0.25,1.0,1.0,0.75
W6_symmetric_invertible_map,50,0.1,1.0,1.0,0.75
W6_symmetric_invertible_map,50,0.25,1.0,1.0,0.75
W6_symmetric_invertible_map,100,0.1,1.0,1.0,0.75
W6_symmetric_invertible_map,100,0.25,1.0,1.0,0.75
W7_lossy_lock_in,50,0.1,1.0,1.0,0.75
W7_lossy_lock_in,50,0.25,1.0,1.0,0.75
W7_lossy_lock_in,100,0.1,1.0,1.0,0.75
W7_lossy_lock_in,100,0.25,1.0,1.0,0.75
W8_full_branching_connection_graph,50,0.1,1.0,0.102356,-0.147644
W8_full_branching_connection_graph,50,0.25,1.0,0.11238,-0.13762
W8_full_branching_connection_graph,100,0.1,1.0,0.020568,-0.229432
W8_full_branching_connection_graph,100,0.25,1.0,0.016276,-0.233724
W9_noise_rich,50,0.1,1.0,0.0,-0.25
W9_noise_rich,50,0.25,1.0,0.0,-0.25
W9_noise_rich,100,0.1,1.0,0.0,-0.25
W9_noise_rich,100,0.25,1.0,0.0,-0.25
