rule_id,stratum,neighborhood,left,center,right,output,active_inputs,asym_sensitive,non_quiescent_output,differs_from_dominant_output
q3g3_s1_00026,S1_random_unbiased,"(0,0,0)",0,0,0,0,0,0,0,1
q3g3_s1_00026,S1_random_unbiased,"(0,0,1)",0,0,1,0,1,1,0,1
q3g3_s1_00026,S1_random_unbiased,"(0,0,2)",0,0,2,0,1,1,0,1
q3g3_s1_00026,S1_random_unbiased,"(0,1,0)",0,1,0,1,1,0,1,0
q3g3_s1_00026,S1_random_unbiased,"(0,1,1)",0,1,1,1,2,1,1,0
q3g3_s1_00026,S1_random_unbiased,"(0,1,2)",0,1,2,0,2,1,0,1
q3g3_s1_00026,S1_random_unbiased,"(0,2,0)",0,2,0,1,1,0,1,0
q3g3_s1_00026,S1_random_unbiased,"(0,2,1)",0,2,1,1,2,1,1,0
q3g3_s1_00026,S1_random_unbiased,"(0,2,2)",0,2,2,1,2,1,1,0
q3g3_s1_00026,S1_random_unbiased,"(1,0,0)",1,0,0,1,1,1,1,0
q3g3_s1_00026,S1_random_unbiased,"(1,0,1)",1,0,1,1,2,0,1,0
q3g3_s1_00026,S1_random_unbiased,"(1,0,2)",1,0,2,2,2,1,1,1
q3g3_s1_00026,S1_random_unbiased,"(1,1,0)",1,1,0,1,2,1,1,0
q3g3_s1_00026,S1_random_unbiased,"(1,1,1)",1,1,1,2,3,0,1,1
q3g3_s1_00026,S1_random_unbiased,"(1,1,2)",1,1,2,1,3,1,1,0
q3g3_s1_00026,S1_random_unbiased,"(1,2,0)",1,2,0,0,2,1,0,1
q3g3_s1_00026,S1_random_unbiased,"(1,2,1)",1,2,1,2,3,0,1,1
q3g3_s1_00026,S1_random_unbiased,"(1,2,2)",1,2,2,1,3,1,1,0
q3g3_s1_00026,S1_random_unbiased,"(2,0,0)",2,0,0,2,1,1,1,1
q3g3_s1_00026,S1_random_unbiased,"(2,0,1)",2,0,1,1,2,1,1,0
q3g3_s1_00026,S1_random_unbiased,"(2,0,2)",2,0,2,0,2,0,0,1
q3g3_s1_00026,S1_random_unbiased,"(2,1,0)",2,1,0,2,2,1,1,1
q3g3_s1_00026,S1_random_unbiased,"(2,1,1)",2,1,1,2,3,1,1,1
q3g3_s1_00026,S1_random_unbiased,"(2,1,2)",2,1,2,2,3,0,1,1
q3g3_s1_00026,S1_random_unbiased,"(2,2,0)",2,2,0,0,2,1,0,1
q3g3_s1_00026,S1_random_unbiased,"(2,2,1)",2,2,1,1,3,1,1,0
q3g3_s1_00026,S1_random_unbiased,"(2,2,2)",2,2,2,0,3,0,0,1
q3g3_s1_00030,S1_random_unbiased,"(0,0,0)",0,0,0,2,0,0,1,1
q3g3_s1_00030,S1_random_unbiased,"(0,0,2)",0,0,2,1,1,1,1,1
q3g3_s1_00030,S1_random_unbiased,"(0,1,0)",0,1,0,1,1,0,1,1
q3g3_s1_00030,S1_random_unbiased,"(0,1,1)",0,1,1,0,2,1,0,0
q3g3_s1_00030,S1_random_unbiased,"(0,1,2)",0,1,2,0,2,1,0,0
q3g3_s1_00030,S1_random_unbiased,"(0,2,0)",0,2,0,2,1,0,1,1
q3g3_s1_00030,S1_random_unbiased,"(0,2,1)",0,2,1,2,2,1,1,1
q3g3_s1_00030,S1_random_unbiased,"(0,2,2)",0,2,2,2,2,1,1,1
q3g3_s1_00030,S1_random_unbiased,"(1,0,0)",1,0,0,1,1,1,1,1
q3g3_s1_00030,S1_random_unbiased,"(1,0,1)",1,0,1,0,2,0,0,0
q3g3_s1_00030,S1_random_unbiased,"(1,0,2)",1,0,2,0,2,1,0,0
q3g3_s1_00030,S1_random_unbiased,"(1,1,0)",1,1,0,0,2,1,0,0
q3g3_s1_00030,S1_random_unbiased,"(1,1,1)",1,1,1,1,3,0,1,1
q3g3_s1_00030,S1_random_unbiased,"(1,1,2)",1,1,2,0,3,1,0,0
q3g3_s1_00030,S1_random_unbiased,"(1,2,0)",1,2,0,0,2,1,0,0
q3g3_s1_00030,S1_random_unbiased,"(1,2,1)",1,2,1,1,3,0,1,1
q3g3_s1_00030,S1_random_unbiased,"(1,2,2)",1,2,2,0,3,1,0,0
