rule_id,stratum,classification,stage1_score,relation_asymmetry_priority
q3g3_s1_00014,S1_random_unbiased,mixed,0.0,0.0
q3g3_s1_00003,S1_random_unbiased,mixed,0.0016262062803782576,0.005601377187969554
q3g3_s1_00016,S1_random_unbiased,mixed,0.08740583146765772,0.2945900245761797
q3g3_s1_00000,S1_random_unbiased,emitter_or_generator,0.07918232324388344,0.27273911339559853
q3g3_s1_00012,S1_random_unbiased,transported_identity,0.07678642950870257,0.26448659052997553
q3g3_s1_00017,S1_random_unbiased,transported_identity,0.12141701204271015,0.4092202998476527
q3g3_s1_00007,S1_random_unbiased,transported_identity,0.04934748736249642,0.16631930925878421
q3g3_s1_00011,S1_random_unbiased,localized_persistence,0.014895550641690035,0.051306896654710124
q3g3_s1_00001,S1_random_unbiased,transported_identity,0.12826608104733178,0.45130658146283403
q3g3_s1_00013,S1_random_unbiased,transported_identity,0.16919159531842806,0.5702383397769242
q3g3_s1_00009,S1_random_unbiased,transported_identity,0.16794672351937198,0.6033641548658919
q3g3_s1_00005,S1_random_unbiased,emitter_or_generator,0.1706760309631797,0.5752414376907168
q3g3_s1_00010,S1_random_unbiased,transported_identity,0.15336703113278005,0.5055431766969416
q3g3_s1_00004,S1_random_unbiased,chaotic,0.07690189040049923,0.270580725483238
q3g3_s1_00008,S1_random_unbiased,emitter_or_generator,0.1357235631030134,0.45743867564348956
q3g3_s1_00006,S1_random_unbiased,chaotic,0.12471661251149808,0.40186464031482716
q3g3_s1_00002,S1_random_unbiased,chaotic,0.10845998044589575,0.3816184497170406
q3g3_s1_00015,S1_random_unbiased,emitter_or_generator,0.1716192366115886,0.591132926106583
q3g3_s1_00018,S1_random_unbiased,transported_identity,0.17387303786125732,0.5988960192998863
q3g3_s1_00029,S1_random_unbiased,frozen_order,0.0,0.0
q3g3_s1_00035,S1_random_unbiased,frozen_order,0.0,0.0
q3g3_s1_00019,S1_random_unbiased,chaotic,0.09033169025247392,0.3245249612774063
