metric_family,metric_name,probe_key,flow_mode,observed_recurrence_rate,control_recurrence_mean,control_recurrence_std,recurrence_excess,recurrence_percentile_vs_controls,control_count,weak_control_flag,control_note,control_match_class
support_turnover,lost_signature_rate,existing_low,constrained_window_flow,0.5,0.5,0.5,0.0,0.5,4,0,computed recurrence controls from non-placeholder transform-control effects,control_equivalent
transition_matrix,transition_matrix_entropy,existing_low,constrained_window_flow,0.5,0.5,0.5,0.0,0.5,4,0,computed recurrence controls from non-placeholder transform-control effects,control_equivalent
transition_matrix,row_entropy_mean,existing_low,constrained_window_flow,0.5,0.5,0.5,0.0,0.5,4,0,computed recurrence controls from non-placeholder transform-control effects,control_equivalent
transition_matrix,off_diagonal_transform_mass,existing_low,constrained_window_flow,0.5,0.5,0.5,0.0,0.5,4,0,computed recurrence controls from non-placeholder transform-control effects,control_equivalent
bottleneck,frontier_bottleneck_index,existing_low,constrained_window_flow,0.5,0.5,0.5,0.0,0.5,4,0,computed recurrence controls from non-placeholder transform-control effects,control_equivalent
support_turnover,lost_signature_rate,existing_low,one_step_local_flow,0.5,0.5,0.5,0.0,0.5,4,0,computed recurrence controls from non-placeholder transform-control effects,control_equivalent
transition_matrix,transition_matrix_entropy,existing_low,one_step_local_flow,0.5,0.5,0.5,0.0,0.5,4,0,computed recurrence controls from non-placeholder transform-control effects,control_equivalent
transition_matrix,row_entropy_mean,existing_low,one_step_local_flow,0.5,0.5,0.5,0.0,0.5,4,0,computed recurrence controls from non-placeholder transform-control effects,control_equivalent
transition_matrix,off_diagonal_transform_mass,existing_low,one_step_local_flow,0.5,0.5,0.5,0.0,0.5,4,0,computed recurrence controls from non-placeholder transform-control effects,control_equivalent
bottleneck,frontier_bottleneck_index,existing_low,one_step_local_flow,0.5,0.5,0.5,0.0,0.5,4,0,computed recurrence controls from non-placeholder transform-control effects,control_equivalent
transition_matrix,row_entropy_mean,full_state_hash,constrained_window_flow,0.5,0.5,0.5,0.0,0.5,4,0,computed recurrence controls from non-placeholder transform-control effects,control_equivalent
support_turnover,signature_distribution_js_to_next_window,full_state_hash,constrained_window_flow,0.5,0.5,0.5,0.0,0.5,4,0,computed recurrence controls from non-placeholder transform-control effects,control_equivalent
transition_matrix,row_entropy_mean,full_state_hash,one_step_local_flow,0.5,0.5,0.5,0.0,0.5,4,0,computed recurrence controls from non-placeholder transform-control effects,control_equivalent
support_turnover,signature_distribution_js_to_next_window,full_state_hash,one_step_local_flow,0.5,0.5,0.5,0.0,0.5,4,0,computed recurrence controls from non-placeholder transform-control effects,control_equivalent
support_turnover,lost_signature_rate,constraint_profile_hash,constrained_window_flow,0.5,0.5,0.5,0.0,0.5,4,0,computed recurrence controls from non-placeholder transform-control effects,control_equivalent
transition_matrix,row_entropy_mean,constraint_profile_hash,constrained_window_flow,0.5,0.5,0.5,0.0,0.5,4,0,computed recurrence controls from non-placeholder transform-control effects,control_equivalent
support_turnover,signature_distribution_js_to_next_window,constraint_profile_hash,constrained_window_flow,0.5,0.5,0.5,0.0,0.5,4,0,computed recurrence controls from non-placeholder transform-control effects,control_equivalent
support_turnover,lost_signature_rate,constraint_profile_hash,one_step_local_flow,0.5,0.5,0.5,0.0,0.5,4,0,computed recurrence controls from non-placeholder transform-control effects,control_equivalent
transition_matrix,row_entropy_mean,constraint_profile_hash,one_step_local_flow,0.5,0.5,0.5,0.0,0.5,4,0,computed recurrence controls from non-placeholder transform-control effects,control_equivalent
support_turnover,signature_distribution_js_to_next_window,constraint_profile_hash,one_step_local_flow,0.5,0.5,0.5,0.0,0.5,4,0,computed recurrence controls from non-placeholder transform-control effects,control_equivalent
support_turnover,support_turnover_rate,constraint_violation_count_plus_local_tuple,constrained_window_flow,0.5,0.5,0.5,0.0,0.5,4,0,computed recurrence controls from non-placeholder transform-control effects,control_equivalent
support_turnover,new_signature_rate,constraint_violation_count_plus_local_tuple,constrained_window_flow,0.5,0.5,0.5,0.0,0.5,4,0,computed recurrence controls from non-placeholder transform-control effects,control_equivalent
support_turnover,lost_signature_rate,constraint_violation_count_plus_local_tuple,constrained_window_flow,0.5,0.5,0.5,0.0,0.5,4,0,computed recurrence controls from non-placeholder transform-control effects,control_equivalent
transition_matrix,row_entropy_mean,constraint_violation_count_plus_local_tuple,constrained_window_flow,0.5,0.5,0.5,0.0,0.5,4,0,computed recurrence controls from non-placeholder transform-control effects,control_equivalent
transition_matrix,transition_matrix_sparsity,constraint_violation_count_plus_local_tuple,constrained_window_flow,0.5,0.5,0.5,0.0,0.5,4,0,computed recurrence controls from non-placeholder transform-control effects,control_equivalent
bottleneck,frontier_bottleneck_index,constraint_violation_count_plus_local_tuple,constrained_window_flow,0.5,0.5,0.5,0.0,0.5,4,0,computed recurrence controls from non-placeholder transform-control effects,control_equivalent
bottleneck,top_k_flow_concentration,constraint_violation_count_plus_local_tuple,constrained_window_flow,0.5,0.5,0.5,0.0,0.5,4,0,computed recurrence controls from non-placeholder transform-control effects,control_equivalent
transition_matrix,transition_matrix_js_to_next_window,constraint_violation_count_plus_local_tuple,constrained_window_flow,0.5,0.5,0.5,0.0,0.5,4,0,computed recurrence controls from non-placeholder transform-control effects,control_equivalent
support_turnover,signature_distribution_js_to_next_window,constraint_violation_count_plus_local_tuple,constrained_window_flow,0.5,0.5,0.5,0.0,0.5,4,0,computed recurrence controls from non-placeholder transform-control effects,control_equivalent
support_turnover,support_turnover_rate,constraint_violation_count_plus_local_tuple,one_step_local_flow,0.5,0.5,0.5,0.0,0.5,4,0,computed recurrence controls from non-placeholder transform-control effects,control_equivalent
support_turnover,new_signature_rate,constraint_violation_count_plus_local_tuple,one_step_local_flow,0.5,0.5,0.5,0.0,0.5,4,0,computed recurrence controls from non-placeholder transform-control effects,control_equivalent
support_turnover,lost_signature_rate,constraint_violation_count_plus_local_tuple,one_step_local_flow,0.5,0.5,0.5,0.0,0.5,4,0,computed recurrence controls from non-placeholder transform-control effects,control_equivalent
transition_matrix,transition_matrix_sparsity,constraint_violation_count_plus_local_tuple,one_step_local_flow,0.5,0.5,0.5,0.0,0.5,4,0,computed recurrence controls from non-placeholder transform-control effects,control_equivalent
bottleneck,frontier_bottleneck_index,constraint_violation_count_plus_local_tuple,one_step_local_flow,0.5,0.5,0.5,0.0,0.5,4,0,computed recurrence controls from non-placeholder transform-control effects,control_equivalent
bottleneck,top_k_flow_concentration,constraint_violation_count_plus_local_tuple,one_step_local_flow,0.5,0.5,0.5,0.0,0.5,4,0,computed recurrence controls from non-placeholder transform-control effects,control_equivalent
transition_matrix,transition_matrix_js_to_next_window,constraint_violation_count_plus_local_tuple,one_step_local_flow,0.5,0.5,0.5,0.0,0.5,4,0,computed recurrence controls from non-placeholder transform-control effects,control_equivalent
support_turnover,signature_distribution_js_to_next_window,constraint_violation_count_plus_local_tuple,one_step_local_flow,0.5,0.5,0.5,0.0,0.5,4,0,computed recurrence controls from non-placeholder transform-control effects,control_equivalent
support_turnover,support_turnover_rate,existing_low,constrained_window_flow,0.25,0.25,0.4330127018922193,0.0,0.75,4,0,computed recurrence controls from non-placeholder transform-control effects,control_equivalent
support_turnover,new_signature_rate,existing_low,constrained_window_flow,0.25,0.25,0.4330127018922193,0.0,0.75,4,0,computed recurrence controls from non-placeholder transform-control effects,control_equivalent
transition_matrix,transition_matrix_sparsity,existing_low,constrained_window_flow,0.25,0.25,0.4330127018922193,0.0,0.75,4,0,computed recurrence controls from non-placeholder transform-control effects,control_equivalent
bottleneck,top_k_flow_concentration,existing_low,constrained_window_flow,0.25,0.25,0.4330127018922193,0.0,0.75,4,0,computed recurrence controls from non-placeholder transform-control effects,control_equivalent
