channel_id,distinction_id,target_distinction_id,decoder_id,support_exact_recovered,success_probability,success_fraction,chance_success_probability,normalized_recovery_advantage,prior_full_support_for_distinction,classification,theorem_boundary_status,notes
identity_channel,D_A,E_A,dec::identity_channel::D_A::E_A::bayes_optimal_decoder,1,1.0,1,0.5,1.0,1,exact_support_and_perfect_probability,support_theorem_transfer_ready,support exact recovery and probabilistic success are not collapsed
identity_channel,D_A,E_A,dec::identity_channel::D_A::E_A::exact_decoder,1,1.0,1,0.5,1.0,1,exact_support_and_perfect_probability,support_theorem_transfer_ready,support exact recovery and probabilistic success are not collapsed
identity_channel,D_A,E_A,dec::identity_channel::D_A::E_A::declared_decoder,1,1.0,1,0.5,1.0,1,exact_support_and_perfect_probability,support_theorem_transfer_ready,support exact recovery and probabilistic success are not collapsed
identity_channel,D_A,E_B,dec::identity_channel::D_A::E_B::bayes_optimal_decoder,0,0.5,1/2,0.5,0.0,1,support_exact_failure_probability_low,measurement_only,support exact recovery and probabilistic success are not collapsed
identity_channel,D_A,E_B,dec::identity_channel::D_A::E_B::declared_decoder,0,0.5,1/2,0.5,0.0,1,support_exact_failure_probability_low,measurement_only,support exact recovery and probabilistic success are not collapsed
identity_channel,D_A,E_joint,dec::identity_channel::D_A::E_joint::bayes_optimal_decoder,1,1.0,1,0.5,1.0,1,exact_support_and_perfect_probability,support_theorem_transfer_ready,support exact recovery and probabilistic success are not collapsed
identity_channel,D_A,E_joint,dec::identity_channel::D_A::E_joint::exact_decoder,1,1.0,1,0.5,1.0,1,exact_support_and_perfect_probability,support_theorem_transfer_ready,support exact recovery and probabilistic success are not collapsed
identity_channel,D_A,E_parity,dec::identity_channel::D_A::E_parity::bayes_optimal_decoder,0,0.5,1/2,0.5,0.0,1,support_exact_failure_probability_low,measurement_only,support exact recovery and probabilistic success are not collapsed
identity_channel,D_A,E_parity,dec::identity_channel::D_A::E_parity::declared_decoder,0,0.5,1/2,0.5,0.0,1,support_exact_failure_probability_low,measurement_only,support exact recovery and probabilistic success are not collapsed
identity_channel,D_A,E_trivial,dec::identity_channel::D_A::E_trivial::bayes_optimal_decoder,0,0.5,1/2,0.5,0.0,1,support_exact_failure_probability_low,measurement_only,support exact recovery and probabilistic success are not collapsed
identity_channel,D_B,E_A,dec::identity_channel::D_B::E_A::bayes_optimal_decoder,0,0.5,1/2,0.5,0.0,1,support_exact_failure_probability_low,measurement_only,support exact recovery and probabilistic success are not collapsed
identity_channel,D_B,E_A,dec::identity_channel::D_B::E_A::declared_decoder,0,0.5,1/2,0.5,0.0,1,support_exact_failure_probability_low,measurement_only,support exact recovery and probabilistic success are not collapsed
identity_channel,D_B,E_B,dec::identity_channel::D_B::E_B::bayes_optimal_decoder,1,1.0,1,0.5,1.0,1,exact_support_and_perfect_probability,support_theorem_transfer_ready,support exact recovery and probabilistic success are not collapsed
identity_channel,D_B,E_B,dec::identity_channel::D_B::E_B::exact_decoder,1,1.0,1,0.5,1.0,1,exact_support_and_perfect_probability,support_theorem_transfer_ready,support exact recovery and probabilistic success are not collapsed
identity_channel,D_B,E_B,dec::identity_channel::D_B::E_B::declared_decoder,1,1.0,1,0.5,1.0,1,exact_support_and_perfect_probability,support_theorem_transfer_ready,support exact recovery and probabilistic success are not collapsed
identity_channel,D_B,E_joint,dec::identity_channel::D_B::E_joint::bayes_optimal_decoder,1,1.0,1,0.5,1.0,1,exact_support_and_perfect_probability,support_theorem_transfer_ready,support exact recovery and probabilistic success are not collapsed
identity_channel,D_B,E_joint,dec::identity_channel::D_B::E_joint::exact_decoder,1,1.0,1,0.5,1.0,1,exact_support_and_perfect_probability,support_theorem_transfer_ready,support exact recovery and probabilistic success are not collapsed
identity_channel,D_B,E_parity,dec::identity_channel::D_B::E_parity::bayes_optimal_decoder,0,0.5,1/2,0.5,0.0,1,support_exact_failure_probability_low,measurement_only,support exact recovery and probabilistic success are not collapsed
identity_channel,D_B,E_parity,dec::identity_channel::D_B::E_parity::declared_decoder,0,0.5,1/2,0.5,0.0,1,support_exact_failure_probability_low,measurement_only,support exact recovery and probabilistic success are not collapsed
identity_channel,D_B,E_trivial,dec::identity_channel::D_B::E_trivial::bayes_optimal_decoder,0,0.5,1/2,0.5,0.0,1,support_exact_failure_probability_low,measurement_only,support exact recovery and probabilistic success are not collapsed
identity_channel,D_joint,E_A,dec::identity_channel::D_joint::E_A::bayes_optimal_decoder,0,0.5,1/2,0.25,0.3333333333333333,1,support_exact_failure_probability_low,measurement_only,support exact recovery and probabilistic success are not collapsed
identity_channel,D_joint,E_B,dec::identity_channel::D_joint::E_B::bayes_optimal_decoder,0,0.5,1/2,0.25,0.3333333333333333,1,support_exact_failure_probability_low,measurement_only,support exact recovery and probabilistic success are not collapsed
identity_channel,D_joint,E_joint,dec::identity_channel::D_joint::E_joint::bayes_optimal_decoder,1,1.0,1,0.25,1.0,1,exact_support_and_perfect_probability,support_theorem_transfer_ready,support exact recovery and probabilistic success are not collapsed
