world,family,stable_relation,history_enabled,noncommutative,commutative,reversible,random_order,lock_in
W0_null_flat,null,False,False,False,False,False,False,False
W1_distinction_only,distinction,False,False,False,False,False,False,False
W2_relation_without_history,relation,True,False,False,False,False,False,False
W3_bias_asymmetry_only,bias,False,False,True,False,False,False,False
W4_commutative_relation_history,commutative,True,True,False,True,False,False,False
W5_noncommutative_relation_history,noncommutative,True,True,True,False,False,False,False
W6_noncommutative_no_relation_control,no_relation_nc,False,True,True,False,False,False,False
W7_reversible_history_control,reversible,True,True,True,False,True,False,False
W8_random_order_history_control,random_order,True,True,True,False,False,True,False
W9_lock_in_history_control,lock_in,True,True,True,False,False,False,True
W10_noise_rich_control,noise,False,False,False,False,False,False,False
W11_collapse_attractor_control,collapse,True,True,True,False,False,False,True
