space,rule_id,stratum,q,radius,table_digest,depends_center,relation_degree,relation_complete,self_only,left_right_asymmetry,output_entropy,temporal_irreversibility_proxy,directional_consequence,DAR_complete_structural,DAR_asymmetric_structural,table_json
q3_radius1,q3r1_s1_0000,S1_random_unbiased,3,1,36a70518011c,True,2,True,False,0.2962962962962963,1.3800943362833298,0.12925742050339462,0.0,True,True,"[2,0,2,2,2,2,2,1,2,0,1,2,0,1,2,2,2,0,2,2,0,0,2,2,2,1,1]"
q3_radius1,q3r1_s1_0001,S1_random_unbiased,3,1,2a8319e14793,True,2,True,False,0.4444444444444444,1.5098693043797229,0.047378531862593554,0.0,True,True,"[0,0,1,1,1,1,2,1,0,1,2,2,2,0,1,1,1,2,1,1,0,1,2,2,1,0,2]"
q3_radius1,q3r1_s1_0002,S1_random_unbiased,3,1,161b7b98f66d,True,2,True,False,0.4444444444444444,1.579013207279971,0.0037535862447711787,0.0,False,False,"[1,2,1,0,2,2,2,0,0,2,0,0,0,0,1,1,0,1,1,2,1,0,1,0,1,2,2]"
q3_radius1,q3r1_s1_0003,S1_random_unbiased,3,1,0d1e83d51132,True,2,True,False,0.5185185185185185,1.446554269396512,0.08732587128191893,0.0,True,True,"[2,0,1,0,1,1,1,0,0,1,0,1,2,1,0,0,0,1,2,0,1,0,2,0,0,0,1]"
q3_radius1,q3r1_s1_0004,S1_random_unbiased,3,1,b97524413605,True,2,True,False,0.2962962962962963,1.360388077926312,0.14169068523240325,0.0,True,True,"[0,0,1,0,0,2,0,2,0,0,1,2,0,0,1,0,2,0,2,2,2,0,0,0,0,0,1]"
q3_radius1,q3r1_s1_0005,S1_random_unbiased,3,1,65cb0f043d0c,True,2,True,False,0.2962962962962963,1.5448491887169091,0.02530868205777448,0.0,True,True,"[0,0,1,0,2,2,2,0,2,0,1,2,2,1,1,2,1,1,1,2,1,0,0,2,2,2,2]"
q3_radius1,q3r1_s1_0006,S1_random_unbiased,3,1,c91c089d2f37,True,2,True,False,0.2222222222222222,1.5663672668986361,0.011732286293246186,0.0,False,False,"[1,2,0,0,2,1,0,0,2,0,2,1,2,2,0,0,2,2,2,1,0,1,0,1,2,1,0]"
q3_radius1,q3r1_s1_0007,S1_random_unbiased,3,1,c8316d10b533,True,2,True,False,0.4444444444444444,1.486565953154142,0.06208130950873836,0.0,True,True,"[0,1,1,2,2,1,1,1,1,1,1,0,1,2,2,1,1,1,2,1,0,0,2,2,0,2,2]"
q3_radius1,q3r1_s1_0008,S1_random_unbiased,3,1,f488398ffc24,True,2,True,False,0.2962962962962963,1.3516441151533924,0.14720751150995937,0.0,True,True,"[1,0,1,2,0,0,0,0,0,0,2,2,0,0,0,1,2,2,2,0,0,0,2,2,0,2,0]"
q3_radius1,q3r1_s1_0009,S1_random_unbiased,3,1,304d403bc145,True,2,True,False,0.5185185185185185,1.5790132072799707,0.003753586244771401,0.0,False,False,"[2,0,1,1,2,0,2,2,1,1,2,0,0,0,1,0,2,0,1,2,0,2,2,0,1,1,2]"
q3_radius1,q3r1_s1_0010,S1_random_unbiased,3,1,61fdb4a901eb,True,2,True,False,0.5185185185185185,1.5610150105933092,0.015109184045017376,0.0,False,False,"[1,0,0,0,0,0,0,1,0,2,2,2,2,1,2,0,1,0,1,0,1,2,2,2,1,0,2]"
q3_radius1,q3r1_s1_0011,S1_random_unbiased,3,1,7e0a9a6ec530,True,2,True,False,0.2962962962962963,1.540709585192697,0.02792048108918921,0.0,True,True,"[1,0,2,0,2,1,0,1,2,0,2,2,2,0,2,1,2,2,1,0,1,1,1,2,1,2,1]"
q3_radius1,q3r1_s1_0012,S1_random_unbiased,3,1,ee9a1c69e307,True,2,True,False,0.2962962962962963,1.5677116575334586,0.01088407024131377,0.0,False,False,"[2,0,0,1,2,0,0,2,2,0,1,0,2,1,1,0,2,1,0,0,2,2,0,0,1,1,1]"
q3_radius1,q3r1_s1_0013,S1_random_unbiased,3,1,2b2e1c3f3583,True,2,True,False,0.6666666666666666,1.540709585192697,0.02792048108918921,0.0,True,True,"[0,0,0,2,0,1,0,0,1,2,1,0,2,2,2,2,0,1,2,2,1,0,0,1,0,2,2]"
q3_radius1,q3r1_s1_0014,S1_random_unbiased,3,1,7394274c4783,True,2,True,False,0.5185185185185185,1.446554269396512,0.08732587128191893,0.0,True,True,"[0,2,1,2,2,0,0,2,2,0,0,0,0,0,1,2,1,2,0,0,2,2,2,0,0,1,0]"
q3_radius1,q3r1_s1_0015,S1_random_unbiased,3,1,a24befa0e850,True,2,True,False,0.5185185185185185,1.5610150105933092,0.015109184045017376,0.0,False,False,"[1,2,2,1,2,2,0,0,1,0,2,2,2,0,0,0,0,0,0,1,0,0,1,1,2,1,2]"
q3_radius1,q3r1_s1_0016,S1_random_unbiased,3,1,ca85e6baebeb,True,2,True,False,0.37037037037037035,1.5012404120907166,0.05282275674809089,0.0,True,True,"[0,0,2,1,0,0,0,1,1,2,1,0,1,2,1,1,2,0,0,1,0,0,1,1,0,0,2]"
q3_radius1,q3r1_s1_0017,S1_random_unbiased,3,1,52f90b36862d,True,2,True,False,0.5925925925925926,1.5610150105933092,0.015109184045017376,0.0,False,False,"[0,2,2,2,1,1,2,2,2,0,2,1,0,1,0,1,0,2,0,2,1,0,0,1,0,0,0]"
q3_radius1,q3r1_s1_0018,S1_random_unbiased,3,1,97d9f3547350,True,2,True,False,0.5925925925925926,1.5610150105933087,0.015109184045017598,0.0,False,False,"[2,1,2,0,2,1,0,0,2,2,0,2,0,0,0,1,2,2,2,1,2,0,1,1,1,0,2]"
q3_radius1,q3r1_s1_0019,S1_random_unbiased,3,1,5ac38ae32126,True,2,True,False,0.5925925925925926,1.446554269396512,0.08732587128191893,0.0,True,True,"[1,1,0,0,1,0,0,1,2,0,1,2,0,1,1,2,0,1,1,0,1,2,0,0,1,1,1]"
q3_radius1,q3r1_s1_0020,S1_random_unbiased,3,1,91cb46747c0d,True,2,True,False,0.4444444444444444,1.5098693043797229,0.047378531862593554,0.0,True,True,"[2,2,1,1,0,1,1,1,0,1,0,0,1,2,1,0,2,1,2,2,1,1,1,1,0,2,2]"
q3_radius1,q3r1_s1_0021,S1_random_unbiased,3,1,8f2f68ab7142,True,2,True,False,0.4444444444444444,1.5448491887169091,0.02530868205777448,0.0,True,True,"[1,0,0,0,2,2,2,2,2,2,0,1,1,0,2,0,2,2,1,1,0,2,1,1,1,2,2]"
q3_radius1,q3r1_s1_0022,S1_random_unbiased,3,1,0968a48c7400,True,2,True,False,0.6666666666666666,1.5610150105933087,0.015109184045017598,0.0,False,False,"[0,2,1,1,0,2,2,2,0,0,2,0,2,1,2,1,2,0,0,1,2,1,1,2,1,1,2]"
q3_radius1,q3r1_s1_0023,S1_random_unbiased,3,1,cd6f578bde98,True,2,True,False,0.37037037037037035,1.5448491887169091,0.02530868205777448,0.0,True,True,"[1,0,0,1,1,2,2,2,0,0,2,0,1,0,2,0,0,1,2,2,1,0,0,2,0,1,0]"
q3_radius1,q3r1_s1_0024,S1_random_unbiased,3,1,af14a0519c48,True,2,True,False,0.4444444444444444,1.5012404120907166,0.05282275674809089,0.0,True,True,"[2,1,1,1,0,0,1,0,0,0,0,0,2,1,1,2,2,0,0,0,1,1,1,1,2,0,0]"
q3_radius1,q3r1_s1_0025,S1_random_unbiased,3,1,c638fffe3baa,True,2,True,False,0.5925925925925926,1.5098693043797227,0.047378531862593665,0.0,True,True,"[1,1,0,0,0,0,2,1,0,0,1,0,0,0,1,0,2,0,2,1,2,1,0,2,1,2,0]"
q3_radius1,q3r1_s1_0026,S1_random_unbiased,3,1,73c1f7cad8ce,True,2,True,False,0.6666666666666666,1.5304930567574826,0.0343663928571748,0.0,True,True,"[0,1,2,0,1,2,0,2,2,2,1,0,2,2,2,0,1,2,1,2,2,0,0,2,1,0,0]"
q3_radius1,q3r1_s1_0027,S1_random_unbiased,3,1,5185bed472c0,True,2,True,False,0.4444444444444444,1.5304930567574826,0.0343663928571748,0.0,True,True,"[1,2,0,0,0,2,2,2,1,0,2,1,1,1,2,2,1,2,2,1,2,1,0,0,2,2,1]"
q3_radius1,q3r1_s1_0028,S1_random_unbiased,3,1,a3a872b83c63,True,2,True,False,0.5185185185185185,1.540709585192697,0.02792048108918921,0.0,True,True,"[2,1,2,0,1,0,0,1,0,1,2,2,2,2,2,0,0,2,0,1,2,2,2,0,1,0,0]"
q3_radius1,q3r1_s1_0029,S1_random_unbiased,3,1,5e688371388a,True,2,True,False,0.4444444444444444,1.5790132072799707,0.003753586244771401,0.0,False,False,"[2,0,1,2,1,2,1,2,0,1,1,0,2,2,2,1,0,0,2,0,2,0,2,1,1,0,1]"
q3_radius1,q3r1_s1_0030,S1_random_unbiased,3,1,8806a98ef2b3,True,2,True,False,0.5925925925925926,1.5663672668986361,0.011732286293246186,0.0,False,False,"[2,2,0,2,1,0,0,1,2,0,0,1,0,0,0,2,2,0,1,0,1,1,2,1,2,2,2]"
q3_radius1,q3r1_s1_0031,S1_random_unbiased,3,1,cb403f0299a2,True,2,True,False,0.2962962962962963,1.584962500721156,0.0,0.0,False,False,"[0,1,0,2,2,0,1,0,0,1,1,0,2,1,0,2,1,2,0,2,1,2,0,1,1,2,2]"
q3_radius1,q3r1_s1_0032,S1_random_unbiased,3,1,c162fbe428f2,True,2,True,False,0.4444444444444444,1.540709585192697,0.02792048108918921,0.0,True,True,"[0,0,1,2,0,2,2,2,0,2,2,1,1,0,0,0,0,2,1,2,1,2,2,1,0,0,2]"
q3_radius1,q3r1_s1_0033,S1_random_unbiased,3,1,2f88c650cd32,True,2,True,False,0.5185185185185185,1.5012404120907163,0.052822756748091004,0.0,True,True,"[1,0,2,1,0,1,2,2,2,1,0,1,2,2,2,1,1,1,1,0,2,2,2,1,1,1,0]"
q3_radius1,q3r1_s1_0034,S1_random_unbiased,3,1,0ad4dbb9520e,True,2,True,False,0.5185185185185185,1.478434599662112,0.06721162236366729,0.0,True,True,"[1,2,0,2,2,0,2,1,2,1,1,0,2,2,2,2,0,0,2,2,1,0,0,2,1,2,2]"
q3_radius1,q3r1_s1_0035,S1_random_unbiased,3,1,4707a676f7ae,True,2,True,False,0.2962962962962963,1.5677116575334584,0.010884070241313881,0.0,False,False,"[2,2,1,0,2,2,0,0,0,2,0,1,2,0,1,1,1,1,2,2,0,2,1,1,0,2,2]"
q3_radius1,q3r1_s1_0036,S1_random_unbiased,3,1,be95646ce1ff,True,2,True,False,0.5925925925925926,1.5012404120907163,0.052822756748091004,0.0,True,True,"[0,0,0,1,0,2,2,1,2,2,2,1,1,1,1,2,2,2,1,2,1,1,1,0,1,1,2]"
q3_radius1,q3r1_s1_0037,S1_random_unbiased,3,1,8262d8ab0ce0,True,2,True,False,0.37037037037037035,1.579013207279971,0.0037535862447711787,0.0,False,False,"[1,0,1,1,2,2,0,1,1,2,0,1,1,2,2,1,0,0,2,0,0,2,2,0,0,0,1]"
