witness_id,carrier_id,abstraction_id,left_fragment,right_fragment,left_class,right_class,same_abstraction_class,exact_allows_merge,exact_blocks_merge,unsound_merge,audit_status
same_compression_score_different_merge_soundness_v0,X2_ab,classes_by_declared_a,00,01,A0,A0,1,1,0,0,PASS
same_compression_score_different_merge_soundness_v0,X2_ab,classes_by_declared_a,00,10,A0,A1,0,0,1,0,PASS
same_compression_score_different_merge_soundness_v0,X2_ab,classes_by_declared_a,00,11,A0,A1,0,0,1,0,PASS
same_compression_score_different_merge_soundness_v0,X2_ab,classes_by_declared_a,01,10,A0,A1,0,0,1,0,PASS
same_compression_score_different_merge_soundness_v0,X2_ab,classes_by_declared_a,01,11,A0,A1,0,0,1,0,PASS
same_compression_score_different_merge_soundness_v0,X2_ab,classes_by_declared_a,10,11,A1,A1,1,1,0,0,PASS
same_compression_score_different_merge_soundness_v0,X2_ab,classes_by_nuisance_b,00,01,B0,B1,0,1,0,0,PASS
same_compression_score_different_merge_soundness_v0,X2_ab,classes_by_nuisance_b,00,10,B0,B0,1,0,1,1,FAIL
same_compression_score_different_merge_soundness_v0,X2_ab,classes_by_nuisance_b,00,11,B0,B1,0,0,1,0,PASS
same_compression_score_different_merge_soundness_v0,X2_ab,classes_by_nuisance_b,01,10,B1,B0,0,0,1,0,PASS
same_compression_score_different_merge_soundness_v0,X2_ab,classes_by_nuisance_b,01,11,B1,B1,1,0,1,1,FAIL
same_compression_score_different_merge_soundness_v0,X2_ab,classes_by_nuisance_b,10,11,B0,B1,0,1,0,0,PASS
