witness_id,carrier_id,channel_id,source_state,target_observation,source_a,source_b,edge_weight,edge_probability,per_source_support_count,per_source_weight_total
same_marginal_success_different_joint_success_v0,X2_ab,correlated_both_or_none,00,both0:00,0,0,1,1/4,4,4
same_marginal_success_different_joint_success_v0,X2_ab,correlated_both_or_none,00,both1:00,0,0,1,1/4,4,4
same_marginal_success_different_joint_success_v0,X2_ab,correlated_both_or_none,00,none0,0,0,1,1/4,4,4
same_marginal_success_different_joint_success_v0,X2_ab,correlated_both_or_none,00,none1,0,0,1,1/4,4,4
same_marginal_success_different_joint_success_v0,X2_ab,correlated_both_or_none,01,both0:01,0,1,1,1/4,4,4
same_marginal_success_different_joint_success_v0,X2_ab,correlated_both_or_none,01,both1:01,0,1,1,1/4,4,4
same_marginal_success_different_joint_success_v0,X2_ab,correlated_both_or_none,01,none0,0,1,1,1/4,4,4
same_marginal_success_different_joint_success_v0,X2_ab,correlated_both_or_none,01,none1,0,1,1,1/4,4,4
same_marginal_success_different_joint_success_v0,X2_ab,correlated_both_or_none,10,both0:10,1,0,1,1/4,4,4
same_marginal_success_different_joint_success_v0,X2_ab,correlated_both_or_none,10,both1:10,1,0,1,1/4,4,4
same_marginal_success_different_joint_success_v0,X2_ab,correlated_both_or_none,10,none0,1,0,1,1/4,4,4
same_marginal_success_different_joint_success_v0,X2_ab,correlated_both_or_none,10,none1,1,0,1,1/4,4,4
same_marginal_success_different_joint_success_v0,X2_ab,correlated_both_or_none,11,both0:11,1,1,1,1/4,4,4
same_marginal_success_different_joint_success_v0,X2_ab,correlated_both_or_none,11,both1:11,1,1,1,1/4,4,4
same_marginal_success_different_joint_success_v0,X2_ab,correlated_both_or_none,11,none0,1,1,1,1/4,4,4
same_marginal_success_different_joint_success_v0,X2_ab,correlated_both_or_none,11,none1,1,1,1,1/4,4,4
same_marginal_success_different_joint_success_v0,X2_ab,independent_bit_masks,00,a_only:0,0,0,1,1/4,4,4
same_marginal_success_different_joint_success_v0,X2_ab,independent_bit_masks,00,b_only:0,0,0,1,1/4,4,4
same_marginal_success_different_joint_success_v0,X2_ab,independent_bit_masks,00,both:00,0,0,1,1/4,4,4
same_marginal_success_different_joint_success_v0,X2_ab,independent_bit_masks,00,none,0,0,1,1/4,4,4
same_marginal_success_different_joint_success_v0,X2_ab,independent_bit_masks,01,a_only:0,0,1,1,1/4,4,4
same_marginal_success_different_joint_success_v0,X2_ab,independent_bit_masks,01,b_only:1,0,1,1,1/4,4,4
same_marginal_success_different_joint_success_v0,X2_ab,independent_bit_masks,01,both:01,0,1,1,1/4,4,4
same_marginal_success_different_joint_success_v0,X2_ab,independent_bit_masks,01,none,0,1,1,1/4,4,4
same_marginal_success_different_joint_success_v0,X2_ab,independent_bit_masks,10,a_only:1,1,0,1,1/4,4,4
same_marginal_success_different_joint_success_v0,X2_ab,independent_bit_masks,10,b_only:0,1,0,1,1/4,4,4
same_marginal_success_different_joint_success_v0,X2_ab,independent_bit_masks,10,both:10,1,0,1,1/4,4,4
same_marginal_success_different_joint_success_v0,X2_ab,independent_bit_masks,10,none,1,0,1,1/4,4,4
same_marginal_success_different_joint_success_v0,X2_ab,independent_bit_masks,11,a_only:1,1,1,1,1/4,4,4
same_marginal_success_different_joint_success_v0,X2_ab,independent_bit_masks,11,b_only:1,1,1,1,1/4,4,4
same_marginal_success_different_joint_success_v0,X2_ab,independent_bit_masks,11,both:11,1,1,1,1/4,4,4
same_marginal_success_different_joint_success_v0,X2_ab,independent_bit_masks,11,none,1,1,1,1/4,4,4
