world,T,branch_probability,true_path_accuracy,shuffled_path_accuracy,random_path_accuracy,path_specificity_delta
W0_null_flat,50,0.1,0.0,0.0,0.0,0.0
W0_null_flat,50,0.25,0.0,0.0,0.0,0.0
W0_null_flat,100,0.1,0.0,0.0,0.0,0.0
W0_null_flat,100,0.25,0.0,0.0,0.0,0.0
W1_distinction_only,50,0.1,1.0,1.0,1.0,0.0
W1_distinction_only,50,0.25,1.0,1.0,1.0,0.0
W1_distinction_only,100,0.1,1.0,1.0,1.0,0.0
W1_distinction_only,100,0.25,1.0,1.0,1.0,0.0
W2_local_memory_only,50,0.1,1.0,1.0,1.0,0.0
W2_local_memory_only,50,0.25,1.0,1.0,1.0,0.0
W2_local_memory_only,100,0.1,1.0,1.0,1.0,0.0
W2_local_memory_only,100,0.25,1.0,1.0,1.0,0.0
W3_generic_coupling,50,0.1,0.00031600000000000004,0.00031600000000000004,0.0,0.0
W3_generic_coupling,50,0.25,0.000308,0.000308,0.0,0.0
W3_generic_coupling,100,0.1,0.0,0.0,0.0,0.0
W3_generic_coupling,100,0.25,0.0,0.0,0.0,0.0
W4_random_relation,50,0.1,1.0,1.01,1.0,-0.01
W4_random_relation,50,0.25,1.0,1.01,1.0,-0.01
W4_random_relation,100,0.1,1.0,1.01,1.0,-0.01
W4_random_relation,100,0.25,1.0,1.01,1.0,-0.01
W5_global_commutative_map,50,0.1,1.0,0.99,0.98,0.01
W5_global_commutative_map,50,0.25,1.0,0.99,0.98,0.01
W5_global_commutative_map,100,0.1,1.0,0.99,0.98,0.01
W5_global_commutative_map,100,0.25,1.0,0.99,0.98,0.01
W6_symmetric_invertible_map,50,0.1,1.0,0.94,0.94,0.06
W6_symmetric_invertible_map,50,0.25,1.0,0.94,0.94,0.06
W6_symmetric_invertible_map,100,0.1,1.0,0.94,0.94,0.06
W6_symmetric_invertible_map,100,0.25,1.0,0.94,0.94,0.06
W7_lossy_lock_in,50,0.1,1.0,1.0,1.0,0.0
W7_lossy_lock_in,50,0.25,1.0,1.0,1.0,0.0
W7_lossy_lock_in,100,0.1,1.0,1.0,1.0,0.0
W7_lossy_lock_in,100,0.25,1.0,1.0,1.0,0.0
W8_full_branching_connection_graph,50,0.1,0.102356,0.009115999999999997,0.007151999999999996,0.09324
W8_full_branching_connection_graph,50,0.25,0.11238,0.014291999999999997,0.010967999999999995,0.098088
W8_full_branching_connection_graph,100,0.1,0.020568,0.0007000000000000001,0.000299999999999998,0.019868
W8_full_branching_connection_graph,100,0.25,0.016276,0.0,0.0,0.016276
W9_noise_rich,50,0.1,0.0,0.0,0.0,0.0
W9_noise_rich,50,0.25,0.0,0.0,0.0,0.0
W9_noise_rich,100,0.1,0.0,0.0,0.0,0.0
W9_noise_rich,100,0.25,0.0,0.0,0.0,0.0
